编号,深夜出没地,期末生存方式,宵夜频率,想加入的社团,经济状态,毕业最想带走,早八到教室,操场上的位置,搞砸了的那晚,相册里的多数
S0001,操场跑道,组团开黑边复习,一周三五次,辩论队,兼职自力更生,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,给家里打个电话,吃的：外卖、食堂、探店
S0002,操场跑道,死磕课本,天天吃,摄影社,靠奖学金过日子,宿舍的那群人,早上根本没课，我的课都在下午,球场，组队打一场,给家里打个电话,和朋友：合影、表情包、抓拍
S0003,网吧,组团开黑边复习,天天吃,电竞社,家里定时打钱,什么也没带走，但也没白来,选了，但没去过几次,器械区随便练练，练完就走,开黑到凌晨，把气打出去,吃的：外卖、食堂、探店
S0004,网吧,临时抱佛脚,天天吃,乐队,家里定时打钱,宿舍的那群人,选了，但没去过几次,跑道上，一个人戴着耳机跑,开黑到凌晨，把气打出去,风景和现场：演出、展览、天空
S0005,操场跑道,组团开黑边复习,偶尔,志愿者协会,兼职自力更生,操场的那圈跑道,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0006,食堂窗口,死磕课本,天天吃,志愿者协会,月初土豪，月底吃土,什么也没带走，但也没白来,选了，但没去过几次,羽毛球乒乓球，约人打,拉朋友出去吃一顿,吃的：外卖、食堂、探店
S0007,食堂窗口,死磕课本,一周三五次,志愿者协会,月初土豪，月底吃土,图书馆那张常坐的座位,选了，但没去过几次,球场，组队打一场,给家里打个电话,风景和现场：演出、展览、天空
S0008,宿舍床上,刷往年题,天天吃,志愿者协会,家里定时打钱,食堂的那个窗口,卡着铃声冲进去，坐最后一排,球场，组队打一场,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0009,食堂窗口,临时抱佛脚,天天吃,乐队,月初土豪，月底吃土,宿舍的那群人,让室友帮忙占座，自己慢慢来,球场，组队打一场,给家里打个电话,和朋友：合影、表情包、抓拍
S0010,网吧,刷往年题,偶尔,摄影社,月初土豪，月底吃土,什么也没带走，但也没白来,选了，但没去过几次,看台或树下，看别人动,拉朋友出去吃一顿,运动记录、跑步路线、装备
S0011,食堂窗口,组团开黑边复习,一周三五次,乐队,家里定时打钱,宿舍的那群人,卡着铃声冲进去，坐最后一排,羽毛球乒乓球，约人打,睡一觉，第二天照常,吃的：外卖、食堂、探店
S0012,操场跑道,死磕课本,偶尔,志愿者协会,家里定时打钱,食堂的那个窗口,提前十分钟到，坐前排,跑道上，一个人戴着耳机跑,去操场跑到没力气,运动记录、跑步路线、装备
S0013,网吧,组团开黑边复习,一周三五次,乐队,家里定时打钱,食堂的那个窗口,提前十分钟到，坐前排,器械区随便练练，练完就走,拉朋友出去吃一顿,和朋友：合影、表情包、抓拍
S0014,食堂窗口,组团开黑边复习,一周三五次,辩论队,家里定时打钱,宿舍的那群人,提前十分钟到，坐前排,球场，组队打一场,拉朋友出去吃一顿,吃的：外卖、食堂、探店
